"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"m[3,27] Full GEOL",117876.216606667,117908,117611.598357617,14055.3,0.95,107621,127196,NA,NA,NA,NA,NA,NA,NA
"m[4,27] Endow GEOL",130043.033926667,130175,132017.671850122,12522,0.95,109487,150677,NA,NA,NA,NA,NA,NA,NA
"m[5,27] Disting GEOL",168840.864333333,168987.5,168631.975311365,12879.9,0.95,143235,193325,NA,NA,NA,NA,NA,NA,NA
"m[1,28] Assis GERM",50550.8815724,50604.55,51613.6925330476,13975.2,0.95,23607.9,76379.2,NA,NA,NA,NA,NA,NA,NA
"m[2,28] Assoc GERM",64859.49222,64852.35,65207.9042585832,12858,0.95,43062.8,85822.7,NA,NA,NA,NA,NA,NA,NA
"m[3,28] Full GERM",98303.41098,98286.85,97864.1472384052,14373.7,0.95,85606.1,110145,NA,NA,NA,NA,NA,NA,NA
"m[4,28] Endow GERM",115364.797753333,115443,114814.656864405,13231.6,0.95,92918,136980,NA,NA,NA,NA,NA,NA,NA
"m[5,28] Disting GERM",152559.847193333,152564.5,152696.881339818,13840.7,0.95,124880,180498,NA,NA,NA,NA,NA,NA,NA
"m[1,29] Assis HIST",67492.0826466667,67461.65,67277.5038602343,15000,0.95,56998.9,77802,NA,NA,NA,NA,NA,NA,NA
"m[2,29] Assoc HIST",82230.9806666667,82251.25,82378.8794798538,15463.6,0.95,73186.7,91110.4,NA,NA,NA,NA,NA,NA,NA
"m[3,29] Full HIST",111631.51798,111615,111359.625981676,15449,0.95,101573,121519,NA,NA,NA,NA,NA,NA,NA
"m[4,29] Endow HIST",141556.014533333,141548,141305.252632093,15000,0.95,126382,156805,NA,NA,NA,NA,NA,NA,NA
"m[5,29] Disting HIST",170504.636733333,170488.5,172651.383352244,13449.2,0.95,145878,193642,NA,NA,NA,NA,NA,NA,NA
"m[1,30] Assis INFO",91083.4361133333,91045.85,90570.0439030792,14635.6,0.95,75604.8,106398,NA,NA,NA,NA,NA,NA,NA
"m[2,30] Assoc INFO",101233.378786667,101238.5,101473.039495619,15000,0.95,90455.3,111569,NA,NA,NA,NA,NA,NA,NA
"m[3,30] Full INFO",137202.442733333,137153.5,136559.533143246,15000,0.95,125634,148771,NA,NA,NA,NA,NA,NA,NA
"m[4,30] Endow INFO",161217.207733333,161167,160907.386330282,14655.4,0.95,141498,181708,NA,NA,NA,NA,NA,NA,NA
"m[5,30] Disting INFO",192021.634533333,191976,190819.785943914,13560.4,0.95,167823,217154,NA,NA,NA,NA,NA,NA,NA
"m[1,31] Assis JOUR",68162.0014,68199.15,68342.7551206489,14882.7,0.95,53096.3,81766.6,NA,NA,NA,NA,NA,NA,NA
"m[2,31] Assoc JOUR",82951.42036,82942.05,82798.8695311933,15000,0.95,68929.8,96062.6,NA,NA,NA,NA,NA,NA,NA
"m[3,31] Full JOUR",102648.4235,102766,103705.878262888,14542.8,0.95,89073.2,116340,NA,NA,NA,NA,NA,NA,NA
"m[4,31] Endow JOUR",139290.753313333,139266.5,138440.926006441,14023.9,0.95,114158,163650,NA,NA,NA,NA,NA,NA,NA
"m[5,31] Disting JOUR",168056.8238,168057.5,167627.833045039,14009.2,0.95,142425,193698,NA,NA,NA,NA,NA,NA,NA
"m[1,32] Assis KINE",72089.6237866667,72134.6,72636.5472112627,15000,0.95,58140,85099,NA,NA,NA,NA,NA,NA,NA
"m[2,32] Assoc KINE",85975.6303333333,86011.2,86695.5488947878,15000,0.95,71804.5,100725,NA,NA,NA,NA,NA,NA,NA
"m[3,32] Full KINE",119397.065786667,119397.5,119316.400858764,15523.9,0.95,106577,131804,NA,NA,NA,NA,NA,NA,NA
"m[4,32] Endow KINE",146923.31848,146933,147737.031629759,14536.3,0.95,122126,170879,NA,NA,NA,NA,NA,NA,NA
"m[5,32] Disting KINE",175714.954666667,175714.5,175492.356718441,13628.3,0.95,150485,201495,NA,NA,NA,NA,NA,NA,NA
"m[1,33] Assis LAWS",120246.10868,120282.5,120551.72113357,12255.8,0.95,97338.1,143660,NA,NA,NA,NA,NA,NA,NA
"m[2,33] Assoc LAWS",144290.1006,144237,144378.422132978,16006.9,0.95,133164,155302,NA,NA,NA,NA,NA,NA,NA
"m[3,33] Full LAWS",159871.759933333,159946.5,160130.869764904,15419.9,0.95,150491,169960,NA,NA,NA,NA,NA,NA,NA
"m[4,33] Endow LAWS",196688.289333333,196674,196127.92971875,15579.3,0.95,188432,204564,NA,NA,NA,NA,NA,NA,NA
"m[5,33] Disting LAWS",215718.3576,215958.5,217026.50527259,12459.8,0.95,194287,235199,NA,NA,NA,NA,NA,NA,NA
"m[1,34] Assis LGED",62110.9064133333,62070.7,61561.4955087229,15000,0.95,46328.9,78916.5,NA,NA,NA,NA,NA,NA,NA
"m[2,34] Assoc LGED",74521.13166,74572.2,74762.4598510215,16073,0.95,62180,86284.1,NA,NA,NA,NA,NA,NA,NA
"m[3,34] Full LGED",101244.0305,101206,99465.8269392361,15000,0.95,79910,121090,NA,NA,NA,NA,NA,NA,NA
"m[4,34] Endow LGED",134329.952126667,134394,135118.959911741,14407.6,0.95,108095,159369,NA,NA,NA,NA,NA,NA,NA
"m[5,34] Disting LGED",163077.9774,163090,165629.83236023,14305.7,0.95,136114,188631,NA,NA,NA,NA,NA,NA,NA
"m[1,35] Assis LING",68569.3904466667,68697.15,69391.9968534062,14260.1,0.95,47338.2,89782.1,NA,NA,NA,NA,NA,NA,NA
"m[2,35] Assoc LING",81152.14992,81134.75,79984.9852410201,15000,0.95,62662.4,99772.8,NA,NA,NA,NA,NA,NA,NA
"m[3,35] Full LING",109895.51086,109873.5,108743.883136953,15492.3,0.95,95847.2,123469,NA,NA,NA,NA,NA,NA,NA
"m[4,35] Endow LING",141225.838333333,141151,140046.721168637,14617.5,0.95,116426,168502,NA,NA,NA,NA,NA,NA,NA
"m[5,35] Disting LING",169811.477466667,170013.5,171005.507594382,13882.3,0.95,142496,196913,NA,NA,NA,NA,NA,NA,NA
"m[1,36] Assis MATH",79029.1706533333,79021.3,78898.5252457733,13969.7,0.95,65884.5,92101.2,NA,NA,NA,NA,NA,NA,NA
"m[2,36] Assoc MATH",87378.2877933333,87347.35,87471.7001290922,14506.2,0.95,76413.3,98330.2,NA,NA,NA,NA,NA,NA,NA
"m[3,36] Full MATH",105565.98328,105570.5,105640.242223945,15962.6,0.95,98894.6,112371,NA,NA,NA,NA,NA,NA,NA
"m[4,36] Endow MATH",160758.574066667,160686,162253.289138627,9331.6,0.95,139454,180940,NA,NA,NA,NA,NA,NA,NA
"m[5,36] Disting MATH",169375.681733333,169463.5,168643.470086122,13275.5,0.95,148778,188989,NA,NA,NA,NA,NA,NA,NA
"m[1,37] Assis MGMT",138935.048666667,138917,138201.203320014,15000,0.95,125600,152503,NA,NA,NA,NA,NA,NA,NA
"m[2,37] Assoc MGMT",160338.772533333,160288.5,160622.005970812,15000,0.95,144551,176190,NA,NA,NA,NA,NA,NA,NA
"m[3,37] Full MGMT",185486.8346,185525.5,185770.824044264,12577,0.95,160738,209951,NA,NA,NA,NA,NA,NA,NA
"m[4,37] Endow MGMT",220675.0956,220694,221022.881499488,12931.3,0.95,206459,235698,NA,NA,NA,NA,NA,NA,NA
"m[5,37] Disting MGMT",244001.5116,243951,242625.210034639,14074.6,0.95,217307,268942,NA,NA,NA,NA,NA,NA,NA
"m[1,38] Assis MKTG",148809.024533333,148785.5,148187.225890505,15000,0.95,133471,164885,NA,NA,NA,NA,NA,NA,NA
"m[2,38] Assoc MKTG",168932.5512,168944,168923.147360884,15000,0.95,156196,181138,NA,NA,NA,NA,NA,NA,NA
"m[3,38] Full MKTG",181540.651733333,181691.5,181772.305042209,12496.6,0.95,160987,201813,NA,NA,NA,NA,NA,NA,NA
"m[4,38] Endow MKTG",224561.020333333,224566,224601.504378602,15000,0.95,207771,239684,NA,NA,NA,NA,NA,NA,NA
"m[5,38] Disting MKTG",248644.439133333,248925.5,250475.552770934,13768.2,0.95,223258,274232,NA,NA,NA,NA,NA,NA,NA
"m[1,39] Assis MUHI",51816.2313866667,51745.7,51227.403754404,14651.1,0.95,31363,72837.6,NA,NA,NA,NA,NA,NA,NA
"m[2,39] Assoc MUHI",65822.3389666667,65858.05,66393.8095674805,15869.3,0.95,51208.4,80624.3,NA,NA,NA,NA,NA,NA,NA
"m[3,39] Full MUHI",97181.4921733333,97163.3,96731.7995696965,14068.6,0.95,81290.3,113537,NA,NA,NA,NA,NA,NA,NA
"m[4,39] Endow MUHI",124157.776066667,124322,126617.020243711,14542,0.95,99245.8,149885,NA,NA,NA,NA,NA,NA,NA
"m[5,39] Disting MUHI",144027.38214,144113,143293.527737102,13262.3,0.95,122118,165504,NA,NA,NA,NA,NA,NA,NA
"m[1,40] Assis MUIN",58078.1027933333,58113.9,58691.5274842973,13434.7,0.95,39596.4,78420.2,NA,NA,NA,NA,NA,NA,NA
"m[2,40] Assoc MUIN",79669.48498,79650.45,79633.6090556517,14308.4,0.95,67145.8,92015.4,NA,NA,NA,NA,NA,NA,NA
"m[3,40] Full MUIN",99202.1925733333,99192.85,99200.9179533282,15700.4,0.95,92817.5,106126,NA,NA,NA,NA,NA,NA,NA
"m[4,40] Endow MUIN",128045.867646667,128016,128394.37649598,13922.3,0.95,112664,143886,NA,NA,NA,NA,NA,NA,NA
"m[5,40] Disting MUIN",155764.841933333,155734.5,155668.500293857,14204.5,0.95,137650,173152,NA,NA,NA,NA,NA,NA,NA
"m[1,41] Assis MUST",79029.1208466667,79239.65,81435.8694522256,13794.2,0.95,54526,104501,NA,NA,NA,NA,NA,NA,NA
"m[2,41] Assoc MUST",87795.36998,88026.65,89006.7320546516,14244.3,0.95,67053.5,108195,NA,NA,NA,NA,NA,NA,NA
"m[3,41] Full MUST",127451.677266667,127454.5,127527.98645562,15568,0.95,116786,137573,NA,NA,NA,NA,NA,NA,NA
"m[4,41] Endow MUST",151512.1782,151570.5,152038.689234777,15000,0.95,135062,167713,NA,NA,NA,NA,NA,NA,NA
"m[5,41] Disting MUST",180889.892733333,181032.5,181439.18813823,13574.6,0.95,154243,207823,NA,NA,NA,NA,NA,NA,NA
"m[1,42] Assis MUTH",54437.092596,54345.4,54216.3086057498,15000,0.95,32578,74987.7,NA,NA,NA,NA,NA,NA,NA
"m[2,42] Assoc MUTH",65816.79652,65807.3,66894.4686017534,15000,0.95,50935.5,81448.2,NA,NA,NA,NA,NA,NA,NA
"m[3,42] Full MUTH",95430.0378333333,95499.8,95875.7389692708,15000,0.95,78908.5,111845,NA,NA,NA,NA,NA,NA,NA
"m[4,42] Endow MUTH",127133.16822,127131,127211.823126833,15000,0.95,100278,152753,NA,NA,NA,NA,NA,NA,NA
"m[5,42] Disting MUTH",155978.332213333,156091,156863.542884393,14365.8,0.95,128615,182429,NA,NA,NA,NA,NA,NA,NA
"m[1,43] Assis MUVO",53207.257372,53431.5,54698.9369312101,14482.3,0.95,27206.8,78856.3,NA,NA,NA,NA,NA,NA,NA
"m[2,43] Assoc MUVO",69761.0131,69737.4,69878.8566407382,15000,0.95,51583.9,87902.4,NA,NA,NA,NA,NA,NA,NA
"m[3,43] Full MUVO",99850.6301466667,99899.55,100123.565151221,15000,0.95,87223.5,111468,NA,NA,NA,NA,NA,NA,NA
"m[4,43] Endow MUVO",126571.334173333,126617.5,128380.298259977,14319.3,0.95,100280,152292,NA,NA,NA,NA,NA,NA,NA
"m[5,43] Disting MUVO",145668.04202,145853.5,145552.790060564,12133.7,0.95,123425,167757,NA,NA,NA,NA,NA,NA,NA
"m[1,44] Assis OADT",144673.7608,144672,145044.776714866,15499.3,0.95,132939,156696,NA,NA,NA,NA,NA,NA,NA
"m[2,44] Assoc OADT",159194.480266667,159213,160365.724949878,16693.5,0.95,143628,174582,NA,NA,NA,NA,NA,NA,NA
"m[3,44] Full OADT",176937.945266667,177042,177298.246930694,13678.2,0.95,158933,194596,NA,NA,NA,NA,NA,NA,NA
"m[4,44] Endow OADT",214519.17,214464,213827.47738294,15000,0.95,196408,231898,NA,NA,NA,NA,NA,NA,NA
"m[5,44] Disting OADT",241679.7778,241735,241655.529081386,14396.1,0.95,215916,267411,NA,NA,NA,NA,NA,NA,NA
"m[1,45] Assis OPT",71241.8264466667,71250.1,72078.8050211534,14180.7,0.95,55524.5,87982.6,NA,NA,NA,NA,NA,NA,NA
"m[2,45] Assoc OPT",80374.1013866667,80387.65,79726.6320460399,15000,0.95,64376.6,96322.1,NA,NA,NA,NA,NA,NA,NA
"m[3,45] Full OPT",103622.88262,103695.5,103685.55005033,15000,0.95,90321.7,117292,NA,NA,NA,NA,NA,NA,NA
"m[4,45] Endow OPT",139841.689806667,139797.5,139704.083802728,14569.4,0.95,115338,165327,NA,NA,NA,NA,NA,NA,NA
"m[5,45] Disting OPT",168457.222266667,168502.5,169346.534760018,14024.9,0.95,142739,194596,NA,NA,NA,NA,NA,NA,NA
"m[1,46] Assis PHYS",78279.52688,78255.7,79084.1266934231,15686.6,0.95,67325.7,89389,NA,NA,NA,NA,NA,NA,NA
"m[2,46] Assoc PHYS",93609.1794066667,93577.3,94490.7135713178,14407.2,0.95,81033.8,107236,NA,NA,NA,NA,NA,NA,NA
"m[3,46] Full PHYS",131932.9968,131980.5,131845.714116452,16595.8,0.95,123819,139742,NA,NA,NA,NA,NA,NA,NA
"m[4,46] Endow PHYS",151431.491266667,151508.5,151564.541747183,13698.1,0.95,127500,174176,NA,NA,NA,NA,NA,NA,NA
"m[5,46] Disting PHYS",167243.682533333,167397.5,167959.030012681,11008.8,0.95,148862,185382,NA,NA,NA,NA,NA,NA,NA
"m[1,47] Assis PL",69226.52888,69268.25,71064.556377811,15000,0.95,51912.5,86653.4,NA,NA,NA,NA,NA,NA,NA
"m[2,47] Assoc PL",80845.1855533333,80884.7,81114.1330140157,15000,0.95,63493,98219.2,NA,NA,NA,NA,NA,NA,NA
"m[3,47] Full PL",116096.482073333,116120.5,115819.355136616,15000,0.95,104258,128085,NA,NA,NA,NA,NA,NA,NA
"m[4,47] Endow PL",145737.022933333,145810,146297.649270974,15000,0.95,129301,160719,NA,NA,NA,NA,NA,NA,NA
"m[5,47] Disting PL",172700.0192,172524,171397.911599013,14451.9,0.95,146804,197704,NA,NA,NA,NA,NA,NA,NA
"m[1,48] Assis POLS",85217.7554266667,85253.9,84767.0292663833,15000,0.95,68766.2,102980,NA,NA,NA,NA,NA,NA,NA
"m[2,48] Assoc POLS",90043.7043466667,90142.3,90663.3956945672,13867,0.95,78787,101012,NA,NA,NA,NA,NA,NA,NA
"m[3,48] Full POLS",135111.740933333,135058,134524.663022256,17271.4,0.95,124480,145590,NA,NA,NA,NA,NA,NA,NA
"m[4,48] Endow POLS",170728.0738,170622,170101.192955181,12139.6,0.95,153036,187807,NA,NA,NA,NA,NA,NA,NA
"m[5,48] Disting POLS",190988.377533333,190960,190818.193467285,14453.1,0.95,171587,211793,NA,NA,NA,NA,NA,NA,NA
"m[1,49] Assis PSY",84096.1194133333,84060.7,84237.0283907676,15000,0.95,71835.4,95773,NA,NA,NA,NA,NA,NA,NA
"m[2,49] Assoc PSY",88428.8664,88475.5,88740.9109123934,15000,0.95,78251.5,99264,NA,NA,NA,NA,NA,NA,NA
"m[3,49] Full PSY",115572.10514,115554.5,115248.331469235,14166.8,0.95,106894,123880,NA,NA,NA,NA,NA,NA,NA
"m[4,49] Endow PSY",181243.060266667,181244,181550.294759212,11462.4,0.95,168763,194344,NA,NA,NA,NA,NA,NA,NA
"m[5,49] Disting PSY",199596.836333333,199555.5,199275.770341548,13213.9,0.95,186715,213609,NA,NA,NA,NA,NA,NA,NA
"m[1,50] Assis REL",64009.9206933333,63989.35,63174.3043685644,15000,0.95,50320.2,77376.5,NA,NA,NA,NA,NA,NA,NA
"m[2,50] Assoc REL",77126.9641466667,77118.45,75776.6343347082,15573,0.95,63480.4,90636.5,NA,NA,NA,NA,NA,NA,NA
"m[3,50] Full REL",113236.07464,113193,111411.383008684,14877.3,0.95,96552,128526,NA,NA,NA,NA,NA,NA,NA
